2023-10-17 15:25:45,767 INFO    StreamThr :261925 [internal.py:wandb_internal():86] W&B internal server running at pid: 261925, started at: 2023-10-17 15:25:45.767601
2023-10-17 15:25:45,769 DEBUG   HandlerThread:261925 [handler.py:handle_request():146] handle_request: status
2023-10-17 15:25:45,770 INFO    WriterThread:261925 [datastore.py:open_for_write():85] open: /home/sjkim/ICLR2023/outputs/2023-10-17/15-25-45/wandb/run-20231017_152545-at8lztur/run-at8lztur.wandb
2023-10-17 15:25:45,770 DEBUG   SenderThread:261925 [sender.py:send():380] send: header
2023-10-17 15:25:45,770 DEBUG   SenderThread:261925 [sender.py:send():380] send: run
2023-10-17 15:25:46,497 INFO    SenderThread:261925 [dir_watcher.py:__init__():211] watching files in: /home/sjkim/ICLR2023/outputs/2023-10-17/15-25-45/wandb/run-20231017_152545-at8lztur/files
2023-10-17 15:25:46,497 INFO    SenderThread:261925 [sender.py:_start_run_threads():1122] run started: at8lztur with start time 1697523945.767479
2023-10-17 15:25:46,502 DEBUG   HandlerThread:261925 [handler.py:handle_request():146] handle_request: check_version
2023-10-17 15:25:46,502 DEBUG   SenderThread:261925 [sender.py:send_request():407] send_request: check_version
2023-10-17 15:25:47,050 DEBUG   HandlerThread:261925 [handler.py:handle_request():146] handle_request: run_start
2023-10-17 15:25:47,066 DEBUG   HandlerThread:261925 [system_info.py:__init__():32] System info init
2023-10-17 15:25:47,066 DEBUG   HandlerThread:261925 [system_info.py:__init__():47] System info init done
2023-10-17 15:25:47,066 INFO    HandlerThread:261925 [system_monitor.py:start():194] Starting system monitor
2023-10-17 15:25:47,066 INFO    SystemMonitor:261925 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-17 15:25:47,067 INFO    HandlerThread:261925 [system_monitor.py:probe():214] Collecting system info
2023-10-17 15:25:47,067 INFO    SystemMonitor:261925 [interfaces.py:start():190] Started cpu monitoring
2023-10-17 15:25:47,068 INFO    SystemMonitor:261925 [interfaces.py:start():190] Started disk monitoring
2023-10-17 15:25:47,068 INFO    SystemMonitor:261925 [interfaces.py:start():190] Started gpu monitoring
