2023-10-17 15:28:00,918 INFO    StreamThr :262949 [internal.py:wandb_internal():86] W&B internal server running at pid: 262949, started at: 2023-10-17 15:28:00.918086
2023-10-17 15:28:00,919 DEBUG   HandlerThread:262949 [handler.py:handle_request():146] handle_request: status
2023-10-17 15:28:00,920 INFO    WriterThread:262949 [datastore.py:open_for_write():85] open: /home/sjkim/ICLR2023/outputs/2023-10-17/15-28-00/wandb/run-20231017_152800-h0kdjq5q/run-h0kdjq5q.wandb
2023-10-17 15:28:00,920 DEBUG   SenderThread:262949 [sender.py:send():380] send: header
2023-10-17 15:28:00,921 DEBUG   SenderThread:262949 [sender.py:send():380] send: run
2023-10-17 15:28:01,638 INFO    SenderThread:262949 [dir_watcher.py:__init__():211] watching files in: /home/sjkim/ICLR2023/outputs/2023-10-17/15-28-00/wandb/run-20231017_152800-h0kdjq5q/files
2023-10-17 15:28:01,638 INFO    SenderThread:262949 [sender.py:_start_run_threads():1122] run started: h0kdjq5q with start time 1697524080.917973
2023-10-17 15:28:01,643 DEBUG   HandlerThread:262949 [handler.py:handle_request():146] handle_request: check_version
2023-10-17 15:28:01,643 DEBUG   SenderThread:262949 [sender.py:send_request():407] send_request: check_version
2023-10-17 15:28:02,190 DEBUG   HandlerThread:262949 [handler.py:handle_request():146] handle_request: run_start
2023-10-17 15:28:02,208 DEBUG   HandlerThread:262949 [system_info.py:__init__():32] System info init
2023-10-17 15:28:02,208 DEBUG   HandlerThread:262949 [system_info.py:__init__():47] System info init done
2023-10-17 15:28:02,208 INFO    HandlerThread:262949 [system_monitor.py:start():194] Starting system monitor
2023-10-17 15:28:02,208 INFO    SystemMonitor:262949 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-17 15:28:02,209 INFO    HandlerThread:262949 [system_monitor.py:probe():214] Collecting system info
2023-10-17 15:28:02,209 INFO    SystemMonitor:262949 [interfaces.py:start():190] Started cpu monitoring
2023-10-17 15:28:02,210 INFO    SystemMonitor:262949 [interfaces.py:start():190] Started disk monitoring
2023-10-17 15:28:02,210 INFO    SystemMonitor:262949 [interfaces.py:start():190] Started gpu monitoring
2023-10-17 15:28:02,210 INFO    SystemMonitor:262949 [interfaces.py:start():190] Started memory monitoring
2023-10-17 15:28:02,211 INFO    SystemMonitor:262949 [interfaces.py:start():190] Started network monitoring
2023-10-17 15:28:02,221 DEBUG   HandlerThread:262949 [system_info.py:probe():196] Probing system
2023-10-17 15:28:02,245 DEBUG   HandlerThread:262949 [system_info.py:_probe_git():181] Probing git
2023-10-17 15:28:02,248 DEBUG   HandlerThread:262949 [system_info.py:_probe_git():189] Probing git done
2023-10-17 15:28:02,248 DEBUG   HandlerThread:262949 [system_info.py:probe():244] Probing system done
